182 221
0 154 169
1 110 6
3 24 178
4 61 177
5 5 166
6 95 31
7 156 189
8 48 140
8 112 155
10 64 117
10 169 12
11 122 110
11 176 197
12 126 36
12 165 54
13 113 54
14 52 160
14 112 73
15 38 3
16 26 141
17 77 196
17 129 43
18 135 189
19 47 105
21 80 94
21 110 161
23 118 14
24 172 83
27 173 197
28 168 19
29 136 111
29 167 165
30 76 176
30 91 40
30 176 93
31 154 141
31 180 22
32 33 82
33 145 81
34 2 128
34 95 150
38 61 92
38 180 38
39 64 146
42 77 79
42 88 91
42 118 199
44 106 38
46 23 115
47 119 154
49 44 130
49 168 110
50 143 148
51 7 71
51 57 166
52 86 41
53 28 183
54 112 131
56 55 124
56 102 179
59 116 149
62 13 186
62 164 95
63 17 76
63 145 178
64 167 188
65 59 17
65 87 199
67 9 21
68 95 49
69 2 127
70 90 170
71 0 92
71 59 116
72 90 67
72 93 170
73 127 158
74 29 17
74 38 160
76 85 72
76 107 170
76 169 89
77 61 133
77 84 70
77 154 111
78 68 50
78 146 110
79 1 94
79 108 181
80 29 185
80 95 24
80 123 81
80 136 123
81 12 119
81 130 109
82 168 100
83 21 106
83 29 125
84 7 98
84 134 126
85 109 173
87 147 176
89 116 47
90 108 64
92 24 91
92 63 113
93 90 185
96 15 200
96 44 129
96 165 144
98 115 23
99 27 51
99 87 185
99 89 155
100 112 120
100 151 47
101 41 157
102 80 181
102 81 140
102 142 89
103 54 166
103 149 164
104 135 121
105 110 40
105 145 34
106 45 29
107 25 139
108 2 139
110 65 153
110 133 188
110 152 16
111 152 77
112 18 164
113 39 62
114 98 92
115 131 6
117 171 126
118 18 77
118 92 6
118 109 6
121 123 172
123 4 28
123 120 56
123 137 156
124 171 135
125 74 127
126 50 3
126 64 91
127 44 108
127 62 94
127 138 179
127 171 25
128 161 9
130 39 99
131 19 64
131 22 42
131 113 128
132 77 154
133 135 180
133 171 32
134 104 141
134 171 147
136 151 61
138 100 56
139 82 160
139 89 152
139 155 62
140 102 85
140 147 180
140 160 19
141 25 43
141 169 152
144 86 46
145 70 98
145 176 107
150 55 132
151 37 177
152 70 61
152 72 22
153 52 84
153 97 155
155 154 200
156 31 60
156 121 163
156 181 51
157 28 75
158 150 5
159 69 178
159 73 28
159 84 136
159 163 161
160 114 120
161 84 35
161 118 21
162 132 176
163 23 194
163 67 125
163 133 189
165 122 31
166 55 104
167 72 7
167 96 73
167 152 7
170 44 4
170 63 122
172 4 66
172 54 136
172 56 98
172 88 126
172 159 109
173 25 133
174 40 32
174 120 61
175 123 144
176 138 195
178 12 111
178 163 18
178 177 151
179 47 40
179 168 197
181 79 38
100
